userId,onlineYearMonth,semester,0hourOnlineCount,1hourOnlineCount,2hourOnlineCount,3hourOnlineCount,4hourOnlineCount,5hourOnlineCount,6hourOnlineCount,7hourOnlineCount,8hourOnlineCount,9hourOnlineCount,10hourOnlineCount,11hourOnlineCount,12hourOnlineCount,13hourOnlineCount,14hourOnlineCount,15hourOnlineCount,16hourOnlineCount,17hourOnlineCount,18hourOnlineCount,19hourOnlineCount,20hourOnlineCount,21hourOnlineCount,22hourOnlineCount,23hourOnlineCount
2015011107,201510,1,9,3,5,4,5,7,9,8,8,10,11,12,8,8,8,8,8,8,8,8,8,8,8,8
2015011121,201510,1,21,15,14,15,16,16,20,20,23,23,24,22,19,19,19,19,19,19,19,19,19,19,19,19
2015011219,201510,1,6,2,3,3,1,1,4,6,6,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4
2015011228,201510,1,21,16,11,12,11,12,15,17,18,18,20,23,20,20,20,20,20,20,20,20,20,20,20,20
2015011210,201510,1,10,5,5,5,4,6,7,7,10,10,12,12,8,8,8,8,8,8,8,8,8,8,8,8
2015011227,201510,1,21,18,17,15,16,19,21,19,20,21,22,24,19,19,19,19,19,19,19,19,19,19,19,19
2015011106,201510,1,9,2,2,1,2,4,5,5,4,7,8,10,6,6,6,6,6,6,6,6,6,6,6,6
2015011217,201510,1,20,16,15,17,15,15,14,15,16,16,17,21,19,19,19,19,19,19,19,19,19,19,19,19
2015011203,201510,1,25,18,17,18,18,20,21,21,22,22,22,24,21,21,21,21,21,21,21,21,21,21,21,21
2015011123,201510,1,23,20,19,19,19,19,23,23,22,25,26,29,23,23,23,23,23,23,23,23,23,23,23,23
2015011124,201510,1,32,28,28,27,30,28,31,33,33,33,36,37,31,31,31,31,31,31,31,31,31,31,31,31
2015011105,201510,1,13,9,9,9,9,13,11,12,14,16,16,18,12,12,12,12,12,12,12,12,12,12,12,12
2015011301,201510,1,28,22,21,21,21,23,26,26,26,26,29,30,26,26,26,26,26,26,26,26,26,26,26,26
2015011122,201510,1,22,18,19,18,18,18,17,17,18,19,22,24,20,20,20,20,20,20,20,20,20,20,20,20
2015011211,201510,1,12,9,8,9,9,7,5,6,8,10,13,15,10,10,10,10,10,10,10,10,10,10,10,10
